Sector,Area,Basis,Measure,Units,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Private nonfarm,Alabama,All workers,Labor productivity,Index (2017=100),89.822,93.420,97.944,100.873,102.157,99.552,98.976,99.612,98.811,98.859,100.000,101.089,102.665,106.346,107.076,106.151,107.992
Private nonfarm,Alaska,All workers,Labor productivity,Index (2017=100),92.779,92.841,106.275,99.772,94.378,101.130,94.717,95.217,97.048,98.582,100.000,95.548,92.722,100.851,99.282,93.051,100.303
Private nonfarm,Arizona,All workers,Labor productivity,Index (2017=100),94.611,94.863,92.812,95.264,98.879,99.756,97.759,98.800,97.511,98.976,100.000,101.491,103.499,108.574,113.423,109.700,109.179
Private nonfarm,Arkansas,All workers,Labor productivity,Index (2017=100),94.132,94.271,96.365,100.418,100.516,100.050,102.595,103.521,102.602,102.102,100.000,100.728,101.374,107.309,107.508,105.726,106.947
Private nonfarm,California,All workers,Labor productivity,Index (2017=100),83.296,85.382,89.426,91.852,91.820,92.451,92.425,93.341,95.603,96.438,100.000,102.159,107.356,117.005,120.095,115.262,118.074
Private nonfarm,Colorado,All workers,Labor productivity,Index (2017=100),84.928,85.555,90.214,91.831,91.067,90.082,91.891,93.930,97.669,98.099,100.000,100.976,106.413,112.738,114.403,113.674,115.671
Private nonfarm,Connecticut,All workers,Labor productivity,Index (2017=100),101.097,100.971,102.553,102.244,96.610,95.602,95.168,93.614,97.154,95.994,100.000,98.548,99.893,100.622,100.602,101.677,103.346
Private nonfarm,Delaware,All workers,Labor productivity,Index (2017=100),99.690,97.525,112.841,113.810,114.309,112.179,106.401,113.771,115.591,105.441,100.000,100.300,106.306,113.813,109.405,105.550,101.073
Private nonfarm,District of Columbia,All workers,Labor productivity,Index (2017=100),96.272,100.706,97.556,101.955,101.335,99.209,96.664,97.094,99.889,99.828,100.000,102.222,101.524,110.978,117.932,114.789,114.806
Private nonfarm,Florida,All workers,Labor productivity,Index (2017=100),92.829,94.194,94.710,97.106,97.771,97.853,96.618,96.312,97.595,98.233,100.000,99.066,102.253,107.639,108.535,109.408,112.931
Private nonfarm,Georgia,All workers,Labor productivity,Index (2017=100),88.779,88.723,91.214,94.634,95.978,93.915,95.319,95.723,97.151,98.742,100.000,101.682,103.924,107.983,106.885,105.196,104.667
Private nonfarm,Hawaii,All workers,Labor productivity,Index (2017=100),90.773,88.665,92.048,93.612,94.273,91.224,93.885,91.260,95.288,97.329,100.000,102.895,103.656,108.316,107.429,102.368,99.788
Private nonfarm,Idaho,All workers,Labor productivity,Index (2017=100),89.520,95.320,99.072,101.908,99.778,99.437,102.452,103.109,100.238,102.532,100.000,103.485,106.634,109.118,110.171,112.261,112.662
Private nonfarm,Illinois,All workers,Labor productivity,Index (2017=100),93.579,93.436,96.061,97.673,98.318,99.214,98.272,99.765,100.587,100.233,100.000,101.662,103.674,104.983,107.302,106.489,106.842
Private nonfarm,Indiana,All workers,Labor productivity,Index (2017=100),95.516,98.403,96.966,102.993,101.324,101.044,101.025,102.697,99.173,100.281,100.000,102.863,102.234,104.578,106.076,107.444,111.292
Private nonfarm,Iowa,All workers,Labor productivity,Index (2017=100),94.274,93.342,94.004,95.221,94.797,96.702,94.117,98.033,100.983,100.170,100.000,101.433,101.453,108.830,111.705,108.757,103.393
Private nonfarm,Kansas,All workers,Labor productivity,Index (2017=100),84.007,85.023,85.133,88.409,89.180,89.012,87.967,91.230,93.667,98.751,100.000,101.836,101.108,107.513,106.639,106.962,108.006
Private nonfarm,Kentucky,All workers,Labor productivity,Index (2017=100),89.728,91.886,94.678,99.735,101.246,102.604,104.023,102.377,99.302,98.924,100.000,101.236,103.974,106.847,106.773,107.550,107.007
Private nonfarm,Louisiana,All workers,Labor productivity,Index (2017=100),101.595,102.572,106.259,111.128,105.251,102.161,98.106,98.730,98.754,99.849,100.000,100.370,100.401,102.478,102.316,96.963,98.811
Private nonfarm,Maine,All workers,Labor productivity,Index (2017=100),95.794,97.182,100.565,101.772,101.073,98.738,97.739,99.458,96.782,98.006,100.000,102.608,106.339,117.101,116.502,114.018,115.711
Private nonfarm,Maryland,All workers,Labor productivity,Index (2017=100),83.318,84.662,87.521,94.716,93.357,93.926,94.035,95.290,97.203,100.459,100.000,98.691,99.682,104.561,106.989,106.505,109.428
Private nonfarm,Massachusetts,All workers,Labor productivity,Index (2017=100),88.153,88.517,91.928,95.712,96.879,98.300,97.939,97.219,100.378,100.013,100.000,103.524,106.037,116.084,117.836,114.970,116.072
Private nonfarm,Michigan,All workers,Labor productivity,Index (2017=100),95.530,95.778,95.859,101.388,100.213,100.104,99.927,100.086,99.440,99.928,100.000,101.029,102.219,110.268,110.553,106.325,107.504
Private nonfarm,Minnesota,All workers,Labor productivity,Index (2017=100),90.259,92.303,95.344,98.728,98.441,97.821,99.341,100.253,99.819,100.266,100.000,103.060,103.601,106.738,107.553,109.242,107.390
Private nonfarm,Mississippi,All workers,Labor productivity,Index (2017=100),94.360,99.547,99.263,100.013,101.419,103.134,100.730,100.630,100.246,102.191,100.000,99.950,99.655,104.856,106.162,100.879,102.623
Private nonfarm,Missouri,All workers,Labor productivity,Index (2017=100),90.808,95.693,99.533,102.290,98.412,99.473,99.534,99.864,99.653,100.053,100.000,99.510,100.881,106.199,108.692,106.633,109.715
Private nonfarm,Montana,All workers,Labor productivity,Index (2017=100),84.355,91.845,97.205,95.758,97.070,95.435,96.011,97.989,99.990,94.775,100.000,98.993,99.872,105.066,106.975,102.490,102.921
Private nonfarm,Nebraska,All workers,Labor productivity,Index (2017=100),85.553,83.974,87.422,89.872,92.929,93.099,91.630,96.771,98.890,99.920,100.000,101.947,104.316,109.359,111.488,118.877,120.151
Private nonfarm,Nevada,All workers,Labor productivity,Index (2017=100),94.455,92.673,97.007,105.024,105.206,104.407,104.965,101.437,100.241,99.728,100.000,100.459,99.779,105.981,106.043,99.596,100.565
Private nonfarm,New Hampshire,All workers,Labor productivity,Index (2017=100),90.042,91.535,94.817,96.168,95.975,96.244,95.747,97.606,99.047,99.930,100.000,102.255,105.162,110.954,116.566,112.257,111.814
Private nonfarm,New Jersey,All workers,Labor productivity,Index (2017=100),94.909,97.468,97.148,99.594,98.330,99.622,101.581,100.233,100.362,99.636,100.000,102.272,103.136,110.522,110.145,107.884,108.088
